task_id,task_type,start_time,target_id,robot_id,priority,cur_status,dependency,description
1,ExecuteTask,"2020-06-01 09:00:20",22,0,2,RanToCompletion,0,Succeeded
2,ExecuteTask,"2020-06-01 09:00:40",23,1,2,RanToCompletion,0,Succeeded
3,ExecuteTask,"2020-06-01 09:01:00",24,2,2,RanToCompletion,0,Succeeded
4,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
5,ExecuteTask,"2020-06-01 09:01:40",26,NULL,2,Created,0,NULL
6,ExecuteTask,"2020-06-01 09:02:00",27,1,2,RanToCompletion,0,Succeeded
7,ExecuteTask,"2020-06-01 09:02:20",28,0,2,RanToCompletion,0,Succeeded
8,ExecuteTask,"2020-06-01 09:02:40",29,2,2,RanToCompletion,0,Succeeded
9,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
10,ExecuteTask,"2020-06-01 09:03:20",22,NULL,2,Created,0,NULL
11,ExecuteTask,"2020-06-01 09:03:40",23,NULL,2,Created,0,NULL
12,ExecuteTask,"2020-06-01 09:04:00",24,2,2,RanToCompletion,0,Succeeded
13,ExecuteTask,"2020-06-01 09:04:20",25,NULL,2,Created,0,NULL
14,ExecuteTask,"2020-06-01 09:04:40",26,1,2,RanToCompletion,0,Succeeded
15,ExecuteTask,"2020-06-01 09:05:00",27,0,2,RanToCompletion,0,Succeeded
16,ExecuteTask,"2020-06-01 09:00:20",22,1,2,RanToCompletion,0,Succeeded
17,ExecuteTask,"2020-06-01 09:00:40",23,0,2,RanToCompletion,0,Succeeded
18,ExecuteTask,"2020-06-01 09:01:00",24,2,2,RanToCompletion,0,Succeeded
19,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
20,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
21,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
22,ExecuteTask,"2020-06-01 09:02:20",28,2,2,RanToCompletion,0,Succeeded
23,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
24,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
25,ExecuteTask,"2020-06-01 09:03:20",22,NULL,2,Created,0,NULL
26,ExecuteTask,"2020-06-01 09:03:40",23,0,2,RanToCompletion,0,Succeeded
27,ExecuteTask,"2020-06-01 09:04:00",24,2,2,Running,0,NULL
28,ExecuteTask,"2020-06-01 09:04:20",25,0,2,RanToCompletion,0,Succeeded
29,ExecuteTask,"2020-06-01 09:04:40",26,NULL,2,Created,0,NULL
30,ExecuteTask,"2020-06-01 09:05:00",27,NULL,2,Created,0,NULL
31,ExecuteTask,"2020-06-01 09:00:20",22,0,2,RanToCompletion,0,Succeeded
32,ExecuteTask,"2020-06-01 09:00:40",23,2,2,RanToCompletion,0,Succeeded
33,ExecuteTask,"2020-06-01 09:01:00",24,1,2,RanToCompletion,0,Succeeded
34,ExecuteTask,"2020-06-01 09:01:20",25,1,2,RanToCompletion,0,Succeeded
35,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
36,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
37,ExecuteTask,"2020-06-01 09:02:20",28,0,2,RanToCompletion,0,Succeeded
38,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
39,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
40,ExecuteTask,"2020-06-01 09:03:20",22,NULL,2,Created,0,NULL
41,ExecuteTask,"2020-06-01 09:03:40",23,1,2,RanToCompletion,0,Succeeded
42,ExecuteTask,"2020-06-01 09:04:00",24,2,2,RanToCompletion,0,Succeeded
43,ExecuteTask,"2020-06-01 09:04:20",25,NULL,2,Created,0,NULL
44,ExecuteTask,"2020-06-01 09:04:40",26,0,2,RanToCompletion,0,Succeeded
45,ExecuteTask,"2020-06-01 09:05:00",27,0,2,RanToCompletion,0,Succeeded
46,ExecuteTask,"2020-06-01 09:00:20",22,1,2,RanToCompletion,0,Succeeded
47,ExecuteTask,"2020-06-01 09:00:40",23,0,2,RanToCompletion,0,Succeeded
48,ExecuteTask,"2020-06-01 09:01:00",24,2,2,RanToCompletion,0,Succeeded
49,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
50,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
51,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
52,ExecuteTask,"2020-06-01 09:02:20",28,2,2,RanToCompletion,0,Succeeded
53,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
54,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
55,ExecuteTask,"2020-06-01 09:03:20",22,0,2,RanToCompletion,0,Succeeded
56,ExecuteTask,"2020-06-01 09:03:40",23,2,2,RanToCompletion,0,Succeeded
57,ExecuteTask,"2020-06-01 09:04:00",24,0,2,RanToCompletion,0,Succeeded
58,ExecuteTask,"2020-06-01 09:04:20",25,NULL,2,Created,0,NULL
59,ExecuteTask,"2020-06-01 09:04:40",26,1,2,RanToCompletion,0,Succeeded
60,ExecuteTask,"2020-06-01 09:05:00",27,1,2,RanToCompletion,0,Succeeded
61,ExecuteTask,"2020-06-01 09:00:20",22,0,2,RanToCompletion,0,Succeeded
62,ExecuteTask,"2020-06-01 09:00:40",23,2,2,RanToCompletion,0,Succeeded
63,ExecuteTask,"2020-06-01 09:01:00",24,1,2,RanToCompletion,0,Succeeded
64,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
65,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
66,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
67,ExecuteTask,"2020-06-01 09:02:20",28,0,2,RanToCompletion,0,Succeeded
68,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
69,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
70,ExecuteTask,"2020-06-01 09:03:20",22,NULL,2,Created,0,NULL
71,ExecuteTask,"2020-06-01 09:03:40",23,1,2,RanToCompletion,0,Succeeded
72,ExecuteTask,"2020-06-01 09:04:00",24,2,2,RanToCompletion,0,Succeeded
73,ExecuteTask,"2020-06-01 09:04:20",25,NULL,2,Created,0,NULL
74,ExecuteTask,"2020-06-01 09:04:40",26,0,2,RanToCompletion,0,Succeeded
75,ExecuteTask,"2020-06-01 09:05:00",27,0,2,RanToCompletion,0,Succeeded
76,ExecuteTask,"2020-06-01 09:00:20",22,0,2,RanToCompletion,0,Succeeded
77,ExecuteTask,"2020-06-01 09:00:40",23,2,2,RanToCompletion,0,Succeeded
78,ExecuteTask,"2020-06-01 09:01:00",24,1,2,RanToCompletion,0,Succeeded
79,ExecuteTask,"2020-06-01 09:01:20",25,1,2,RanToCompletion,0,Succeeded
80,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
81,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
82,ExecuteTask,"2020-06-01 09:02:20",28,0,2,RanToCompletion,0,Succeeded
83,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
84,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
85,ExecuteTask,"2020-06-01 09:03:20",22,NULL,2,Created,0,NULL
86,ExecuteTask,"2020-06-01 09:03:40",23,1,2,RanToCompletion,0,Succeeded
87,ExecuteTask,"2020-06-01 09:04:00",24,2,2,RanToCompletion,0,Succeeded
88,ExecuteTask,"2020-06-01 09:04:20",25,NULL,2,Created,0,NULL
89,ExecuteTask,"2020-06-01 09:04:40",26,0,2,RanToCompletion,0,Succeeded
90,ExecuteTask,"2020-06-01 09:05:00",27,0,2,RanToCompletion,0,Succeeded
91,ExecuteTask,"2020-06-01 09:00:20",22,2,2,RanToCompletion,0,Succeeded
92,ExecuteTask,"2020-06-01 09:00:40",23,0,2,RanToCompletion,0,Succeeded
93,ExecuteTask,"2020-06-01 09:01:00",24,1,2,RanToCompletion,0,Succeeded
94,ExecuteTask,"2020-06-01 09:01:20",25,1,2,RanToCompletion,0,Succeeded
95,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
96,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
97,ExecuteTask,"2020-06-01 09:02:20",28,NULL,2,Created,0,NULL
98,ExecuteTask,"2020-06-01 09:02:40",29,0,2,RanToCompletion,0,Succeeded
99,ExecuteTask,"2020-06-01 09:03:00",21,2,2,RanToCompletion,0,Succeeded
100,ExecuteTask,"2020-06-01 09:03:20",22,1,2,RanToCompletion,0,Succeeded
101,ExecuteTask,"2020-06-01 09:03:40",23,2,2,RanToCompletion,0,Succeeded
102,ExecuteTask,"2020-06-01 09:04:00",24,NULL,2,Created,0,NULL
103,ExecuteTask,"2020-06-01 09:04:20",25,2,2,RanToCompletion,0,Succeeded
104,ExecuteTask,"2020-06-01 09:04:40",26,NULL,2,Created,0,NULL
105,ExecuteTask,"2020-06-01 09:05:00",27,0,2,RanToCompletion,0,Succeeded
106,ExecuteTask,"2020-06-01 09:00:20",22,2,2,RanToCompletion,0,Succeeded
107,ExecuteTask,"2020-06-01 09:00:40",23,1,2,RanToCompletion,0,Succeeded
108,ExecuteTask,"2020-06-01 09:01:00",24,0,2,RanToCompletion,0,Succeeded
109,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
110,ExecuteTask,"2020-06-01 09:01:40",26,NULL,2,Created,0,NULL
111,ExecuteTask,"2020-06-01 09:02:00",27,0,2,RanToCompletion,0,Succeeded
112,ExecuteTask,"2020-06-01 09:02:20",28,1,2,RanToCompletion,0,Succeeded
113,ExecuteTask,"2020-06-01 09:02:40",29,2,2,RanToCompletion,0,Succeeded
114,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
115,ExecuteTask,"2020-06-01 09:03:20",22,NULL,2,Created,0,NULL
116,ExecuteTask,"2020-06-01 09:03:40",23,0,2,RanToCompletion,0,Succeeded
117,ExecuteTask,"2020-06-01 09:04:00",24,NULL,2,Created,0,NULL
118,ExecuteTask,"2020-06-01 09:04:20",25,NULL,2,Created,0,NULL
119,ExecuteTask,"2020-06-01 09:04:40",26,1,2,RanToCompletion,0,Succeeded
120,ExecuteTask,"2020-06-01 09:05:00",27,2,2,RanToCompletion,0,Succeeded
121,ExecuteTask,"2020-06-01 09:00:20",22,1,2,RanToCompletion,0,Succeeded
122,ExecuteTask,"2020-06-01 09:00:40",23,0,2,RanToCompletion,0,Succeeded
123,ExecuteTask,"2020-06-01 09:01:00",24,2,2,RanToCompletion,0,Succeeded
124,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
125,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
126,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
127,ExecuteTask,"2020-06-01 09:02:20",28,2,2,RanToCompletion,0,Succeeded
128,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
129,ExecuteTask,"2020-06-01 09:03:00",21,0,2,RanToCompletion,0,Succeeded
130,ExecuteTask,"2020-06-01 09:03:20",22,NULL,2,Created,0,NULL
131,ExecuteTask,"2020-06-01 09:03:40",23,2,2,RanToCompletion,0,Succeeded
132,ExecuteTask,"2020-06-01 09:04:00",24,0,2,RanToCompletion,0,Succeeded
133,ExecuteTask,"2020-06-01 09:04:20",25,NULL,2,Created,0,NULL
134,ExecuteTask,"2020-06-01 09:04:40",26,NULL,2,Created,0,NULL
135,ExecuteTask,"2020-06-01 09:05:00",27,1,2,RanToCompletion,0,Succeeded
136,ExecuteTask,"2020-06-01 09:00:20",22,0,2,RanToCompletion,0,Succeeded
137,ExecuteTask,"2020-06-01 09:00:40",23,2,2,RanToCompletion,0,Succeeded
138,ExecuteTask,"2020-06-01 09:01:00",24,1,2,RanToCompletion,0,Succeeded
139,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
140,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
141,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
142,ExecuteTask,"2020-06-01 09:02:20",28,0,2,RanToCompletion,0,Succeeded
143,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
144,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
145,ExecuteTask,"2020-06-01 09:03:20",22,NULL,2,Created,0,NULL
146,ExecuteTask,"2020-06-01 09:03:40",23,1,2,RanToCompletion,0,Succeeded
147,ExecuteTask,"2020-06-01 09:04:00",24,NULL,2,Created,0,NULL
148,ExecuteTask,"2020-06-01 09:04:20",25,2,2,RanToCompletion,0,Succeeded
149,ExecuteTask,"2020-06-01 09:04:40",26,NULL,2,Created,0,NULL
150,ExecuteTask,"2020-06-01 09:05:00",27,NULL,2,Created,0,NULL
151,ExecuteTask,"2020-06-01 09:00:20",22,1,2,RanToCompletion,0,Succeeded
152,ExecuteTask,"2020-06-01 09:00:40",23,2,2,RanToCompletion,0,Succeeded
153,ExecuteTask,"2020-06-01 09:01:00",24,0,2,RanToCompletion,0,Succeeded
154,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
155,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
156,ExecuteTask,"2020-06-01 09:02:00",27,0,2,RanToCompletion,0,Succeeded
157,ExecuteTask,"2020-06-01 09:02:20",28,NULL,2,Created,0,NULL
158,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
159,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
160,ExecuteTask,"2020-06-01 09:03:20",22,2,2,RanToCompletion,0,Succeeded
161,ExecuteTask,"2020-06-01 09:03:40",23,0,2,RanToCompletion,0,Succeeded
162,ExecuteTask,"2020-06-01 09:04:00",24,2,2,RanToCompletion,0,Succeeded
163,ExecuteTask,"2020-06-01 09:04:20",25,1,2,RanToCompletion,0,Succeeded
164,ExecuteTask,"2020-06-01 09:04:40",26,NULL,2,Created,0,NULL
165,ExecuteTask,"2020-06-01 09:05:00",27,2,2,RanToCompletion,0,Succeeded
166,ExecuteTask,"2020-06-01 09:00:20",22,1,2,RanToCompletion,0,Succeeded
167,ExecuteTask,"2020-06-01 09:00:40",23,0,2,RanToCompletion,0,Succeeded
168,ExecuteTask,"2020-06-01 09:01:00",24,2,2,RanToCompletion,0,Succeeded
169,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
170,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
171,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
172,ExecuteTask,"2020-06-01 09:02:20",28,2,2,RanToCompletion,0,Succeeded
173,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
174,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
175,ExecuteTask,"2020-06-01 09:03:20",22,0,2,RanToCompletion,0,Succeeded
176,ExecuteTask,"2020-06-01 09:03:40",23,2,2,RanToCompletion,0,Succeeded
177,ExecuteTask,"2020-06-01 09:04:00",24,0,2,RanToCompletion,0,Succeeded
178,ExecuteTask,"2020-06-01 09:04:20",25,NULL,2,Created,0,NULL
179,ExecuteTask,"2020-06-01 09:04:40",26,1,2,RanToCompletion,0,Succeeded
180,ExecuteTask,"2020-06-01 09:05:00",27,1,2,RanToCompletion,0,Succeeded
181,ExecuteTask,"2020-06-01 09:00:20",22,1,2,RanToCompletion,0,Succeeded
182,ExecuteTask,"2020-06-01 09:00:40",23,0,2,RanToCompletion,0,Succeeded
183,ExecuteTask,"2020-06-01 09:01:00",24,2,2,RanToCompletion,0,Succeeded
184,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
185,ExecuteTask,"2020-06-01 09:01:40",26,1,2,RanToCompletion,0,Succeeded
186,ExecuteTask,"2020-06-01 09:02:00",27,NULL,2,Created,0,NULL
187,ExecuteTask,"2020-06-01 09:02:20",28,2,2,RanToCompletion,0,Succeeded
188,ExecuteTask,"2020-06-01 09:02:40",29,NULL,2,Created,0,NULL
189,ExecuteTask,"2020-06-01 09:03:00",21,NULL,2,Created,0,NULL
190,ExecuteTask,"2020-06-01 09:03:20",22,0,2,RanToCompletion,0,Succeeded
191,ExecuteTask,"2020-06-01 09:03:40",23,2,2,RanToCompletion,0,Succeeded
192,ExecuteTask,"2020-06-01 09:04:00",24,0,2,RanToCompletion,0,Succeeded
193,ExecuteTask,"2020-06-01 09:04:20",25,1,2,RanToCompletion,0,Succeeded
194,ExecuteTask,"2020-06-01 09:04:40",26,NULL,2,Created,0,NULL
195,ExecuteTask,"2020-06-01 09:05:00",27,NULL,2,Created,0,NULL
196,ExecuteTask,"2020-06-01 09:00:20",22,2,2,RanToCompletion,0,Succeeded
197,ExecuteTask,"2020-06-01 09:00:40",23,1,2,RanToCompletion,0,Succeeded
198,ExecuteTask,"2020-06-01 09:01:00",24,0,2,RanToCompletion,0,Succeeded
199,ExecuteTask,"2020-06-01 09:01:20",25,NULL,2,Created,0,NULL
200,ExecuteTask,"2020-06-01 09:01:40",26,NULL,2,Created,0,NULL
